label,taxonomy,phylotax,Subtree
SFC2018091503,Fungi;Basidiomycota;Agaricomycetes;Agaricales;;Lepista;Lepista_panaeola,Lepista_panaeola,0
SFC2018091110,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;Agaricus_atrodiscus,Agaricus_atrodiscus,0
SFC2018070535,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;Agaricus_karstomyces,Agaricus_karstomyces,0
SFC2017071309,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;Agaricus_pt_0.31,Agaricus_pt_0.31,0
SFC2017072682,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;Agaricus_pt_0.31,Agaricus_pt_0.31,0
SFC2018090790,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;Agaricus_pt_0.31,Agaricus_pt_0.31,0
SFC2018070490,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;Agaricus_xanthodermulus,Agaricus_xanthodermulus,0
SFC2015090439,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Leucoagaricus;Leucoagaricus_subpurpureolilacinus,Leucoagaricus_subpurpureolilacinus,0
SFC20200916-40,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_rubellus,Cortinarius_rubellus,0
SFC2021090220,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrocybe;Hygrocybe_singeri,Hygrocybe_singeri,0
SFC2020071608,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;Inocybe_venustissima,Inocybe_venustissima,0
SFC2020071604,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Calocybe;Calocybe_convexa,Calocybe_convexa,0
SFC2018090571,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius_macrocystidiosus,Marasmius_macrocystidiosus,0
SFC2016090732,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius_macrocystidiosus,Marasmius_macrocystidiosus,0
SFC2013080733,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius_macrocystidiosus,Marasmius_macrocystidiosus,0
SFC2014072312,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius_macrocystidiosus,Marasmius_macrocystidiosus,0
SFC2014082802,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius_macrocystidiosus,Marasmius_macrocystidiosus,0
SFC2020071619,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella_amaura,Psathyrella_amaura,0
SFC2019061905,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella_squamosa,Psathyrella_squamosa,0
SFC2018090583,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella_subsingeri,Psathyrella_subsingeri,0
