Gene Species Taxon Signature
0 NR_152951 NR_152951 0.5801149844983231
0 NR_111682 NR_111682 0.5801149844983231
0 NR_103641 NR_103641 0.5801149844983231
0 NR_178158 NR_178158 0.5801149844983231
0 NR_103638 NR_103638 0.5801149844983231
0 NR_103631 NR_103631 0.5801149844983231
0 AF357029 AF357029 0.004341795777246845
0 KF381521 KF381521 0.09856677076118714
0 EU784298 EU784298 0.09856677076118714
0 EU784300 EU784300 0.09856677076118714
0 KU528826 KU528826 0.004341795777246845
0 JF907780 JF907780 0.004341795777246845
0 KU528827 KU528827 0.004341795777246845
0 SFC2020071604 SFC2020071604 0.004341795777246845
0 JF908055 JF908055 0.09856677076118714
0 NR_119897 NR_119897 0.09856677076118714
0 FM208882 FM208882 0.09856677076118714
0 FM208878 FM208878 0.09856677076118714
0 FM208862 FM208862 0.09856677076118714
0 SFC2021090220 SFC2021090220 0.09856677076118714
0 FM208861 FM208861 0.09856677076118714
0 FM208860 FM208860 0.09856677076118714
0 JF908060 JF908060 0.09856677076118714
0 FJ917622 FJ917622 0.08084722553887284
0 FJ917624 FJ917624 0.01114740379958444
0 FJ904966 FJ904966 0.01114740379958444
0 FJ904969 FJ904969 0.01114740379958444
0 GU266261 GU266261 0.01114740379958444
0 FJ167656 FJ167656 0.01114740379958444
0 EU935543 EU935543 0.01114740379958444
0 JF907969 JF907969 0.01114740379958444
0 FJ904972 FJ904972 0.004773818761945176
0 JN943604 JN943604 0.004773818761945176
0 FJ904976 FJ904976 0.004111133457583581
0 DQ067580 DQ067580 0.0039264710259727205
